"policy.number" "probability.of.claim" "exponential.parameter"
107 0.0031 0.00013
108 0.0054 0.00015
109 0.0048 5e-05
110 0.0035 0.00015
111 0.0022 8e-05
112 0.0054 1e-04
113 0.0079 0.00019
114 0.0033 2e-04
115 0.0048 1e-04
116 0.0042 0.00014
117 0.005 0.00011
118 0.0014 2e-04
119 0.0061 0.00016
120 0.0022 0.00019
121 0.0017 8e-05
122 0.0099 6e-05
123 0.0082 0.00019
124 0.0088 1e-04
125 0.0032 0.00017
126 9e-04 0.00011
127 0.0071 7e-05
128 0.0078 0.00019
129 0.0026 0.00013
130 0.0037 0.00018
131 0.004 2e-04
132 0.0022 0.00017
133 6e-04 0.00019
134 0.0086 8e-05
135 0.0041 1e-04
136 5e-04 9e-05
137 0.0014 6e-05
138 0.0046 0.00016
139 0.0042 0.00015
140 0.0062 6e-05
141 0.0045 1e-04
142 0.0028 0.00017
143 0.0044 0.00019
144 0.0091 0.00012
145 0.0066 0.00014
146 0.0074 0.00018
147 0.0054 0.00017
148 0.0066 9e-05
149 0.0068 7e-05
150 0.0071 5e-05
151 0.0047 7e-05
152 0.0063 0.00012
153 0.0085 0.00016
154 0.0012 2e-04
155 0.0057 0.00011
156 0.0071 6e-05
157 0.006 6e-05
158 0.0035 0.00019
159 0.0032 8e-05
160 0.0083 0.00015
161 0.0071 7e-05
162 0.0037 0.00013
163 8e-04 0.00011
164 0.0092 8e-05
165 0.0085 0.00012
166 0.0067 9e-05
167 0.0052 8e-05
168 0.0021 0.00012
169 0.0077 0.00015
170 0.0099 0.00019
171 0.0027 8e-05
172 0.0094 9e-05
173 0.01 6e-05
174 9e-04 7e-05
175 0.0035 0.00013
176 0.0087 0.00016
177 0.005 0.00015
178 0.0097 8e-05
179 0.0033 0.00014
180 0.0013 2e-04
181 0.0083 5e-05
182 0.0074 0.00011
183 0.0018 5e-05
184 0.0051 0.00016
185 0.0073 5e-05
186 0.0013 1e-04
187 0.0083 0.00017
188 0.0026 0.00018
189 0.0085 7e-05
190 0.002 0.00012
191 0.0067 8e-05
192 0.0077 5e-05
193 0.0039 1e-04
194 0.0094 8e-05
195 0.0033 6e-05
196 0.0038 0.00013
197 0.0046 0.00013
198 0.0063 0.00011
199 0.005 0.00019
200 0.0069 0.00015
201 7e-04 5e-05
202 0.0017 2e-04
203 0.0088 0.00014
204 0.0072 8e-05
205 0.0077 0.00018
206 0.0054 9e-05
207 0.006 9e-05
208 0.0022 2e-04
209 0.005 0.00012
210 0.003 0.00012
211 0.0083 0.00016
212 0.0077 0.00018
213 0.0044 2e-04
214 0.0052 6e-05
215 7e-04 5e-05
216 0.0036 5e-05
217 0.0026 0.00014
218 0.0015 8e-05
219 0.0091 0.00014
220 6e-04 5e-05
221 0.0021 8e-05
222 0.0047 0.00015
223 0.0095 2e-04
224 0.0027 0.00011
225 0.01 0.00015
226 0.0081 7e-05
227 0.0058 0.00018
228 0.0082 0.00011
229 0.0013 9e-05
230 0.0019 9e-05
231 0.008 0.00018
232 0.0013 9e-05
233 0.001 8e-05
234 0.0094 2e-04
235 0.007 0.00011
236 0.0019 0.00017
237 0.0055 0.00016
238 7e-04 0.00019
239 0.0045 0.00011
240 0.0085 0.00012
241 0.0089 0.00013
242 0.0024 0.00014
243 0.0082 0.00018
244 0.01 0.00014
245 0.0014 5e-05
246 0.0054 0.00012
247 9e-04 0.00016
248 0.0016 0.00018
249 0.0087 9e-05
250 0.0033 0.00018
251 0.0063 0.00019
252 0.0015 0.00015
253 0.0038 9e-05
254 0.0021 0.00015
255 0.009 0.00018
256 0.001 5e-05
257 0.0013 0.00016
258 0.0095 0.00015
259 0.0012 0.00011
260 0.0065 2e-04
261 0.0092 2e-04
262 0.0045 0.00015
263 7e-04 0.00019
264 0.0029 6e-05
265 0.0015 0.00018
266 0.0017 0.00014
267 0.0049 0.00017
268 0.0031 0.00011
269 0.0078 2e-04
270 0.006 2e-04
271 0.0069 0.00019
272 0.0037 0.00019
273 0.0063 0.00017
274 0.0023 0.00011
275 0.0018 8e-05
276 0.0018 2e-04
277 0.0076 8e-05
278 0.0042 0.00014
279 0.0064 0.00011
280 0.007 7e-05
281 0.0025 1e-04
282 0.0026 8e-05
283 0.0051 0.00014
284 0.0035 0.00015
285 0.0099 8e-05
286 0.0022 0.00012
287 0.0084 0.00017
288 0.0084 0.00017
289 0.0041 0.00015
290 0.0092 5e-05
291 0.0037 5e-05
292 0.0069 8e-05
293 0.0056 9e-05
294 0.0066 0.00015
295 0.0044 0.00016
296 0.0048 9e-05
297 0.0012 6e-05
298 7e-04 0.00015
299 0.0038 1e-04
300 0.0092 0.00015
301 0.0084 1e-04
302 0.002 0.00014
303 0.0079 0.00015
304 0.0023 5e-05
305 0.0034 6e-05
306 0.0098 1e-04
307 0.008 7e-05
308 7e-04 0.00016
309 0.003 0.00015
310 0.0086 5e-05
311 0.009 8e-05
312 0.0024 6e-05
313 0.004 1e-04
314 0.0069 0.00013
315 0.0089 2e-04
316 0.0052 6e-05
317 0.0036 9e-05
318 8e-04 0.00018
319 0.006 5e-05
320 0.001 0.00019
321 5e-04 0.00018
322 0.0079 0.00013
323 0.0099 8e-05
324 0.003 8e-05
325 0.0056 7e-05
326 9e-04 0.00019
327 0.0096 0.00017
328 0.0047 0.00014
329 0.0034 0.00012
330 0.0077 0.00011
331 0.0029 2e-04
332 7e-04 0.00015
333 0.0051 1e-04
334 0.0098 5e-05
335 0.0048 0.00014
336 0.0018 0.00014
337 0.0052 0.00013
338 0.0051 0.00012
339 0.0035 5e-05
340 0.0037 0.00012
341 0.0012 0.00012
342 0.0027 0.00013
343 0.0058 2e-04
344 0.0041 5e-05
345 0.0015 0.00015
346 0.0018 0.00019
347 8e-04 6e-05
348 0.005 0.00017
349 0.0051 0.00014
350 0.0089 2e-04
351 0.0065 0.00012
352 0.0032 0.00019
353 0.0095 0.00017
354 0.0053 6e-05
355 0.0018 6e-05
356 0.0047 0.00015
357 0.0083 0.00016
358 0.0012 7e-05
359 0.0031 0.00016
360 0.0015 7e-05
361 0.0099 7e-05
362 0.0071 0.00013
363 0.0028 6e-05
364 0.0036 0.00012
365 0.0079 0.00014
366 0.0092 6e-05
367 0.0085 0.00014
368 0.0096 7e-05
369 0.0014 2e-04
370 0.0061 0.00019
371 0.0042 0.00015
372 0.0025 0.00014
373 0.0045 0.00019
374 0.0078 8e-05
375 0.0038 2e-04
376 0.0053 0.00017
377 0.0078 0.00018
378 0.004 0.00015
379 0.0016 0.00016
380 0.0086 0.00015
381 0.0076 1e-04
382 0.003 0.00015
383 0.0066 6e-05
384 0.0036 0.00011
385 0.0034 0.00013
386 0.005 0.00015
387 0.0069 0.00017
388 0.0093 7e-05
389 0.0045 0.00017
390 0.0089 0.00013
391 0.0092 0.00015
392 0.0084 0.00013
393 0.0081 0.00019
394 0.0082 0.00015
395 0.0056 0.00011
396 0.0096 0.00018
397 0.0029 2e-04
398 0.0088 0.00018
399 0.0078 0.00012
400 0.002 5e-05
401 0.0048 0.00016
402 0.002 0.00016
403 0.0041 9e-05
404 5e-04 0.00018
405 0.0085 0.00012
406 0.002 0.00012
407 0.0026 0.00012
408 0.0017 8e-05
409 0.0063 0.00012
410 0.0045 0.00019
411 0.0068 0.00012
412 0.0067 0.00011
413 0.0075 6e-05
414 0.0011 0.00011
415 0.0084 0.00016
416 0.0064 0.00015
417 0.0039 6e-05
418 0.008 5e-05
419 0.0078 0.00015
420 0.0072 0.00014
421 0.009 1e-04
422 0.0044 0.00017
423 0.0075 6e-05
424 0.0029 0.00018
425 0.0072 0.00015
426 0.0028 0.00019
427 0.0035 6e-05
428 0.0069 2e-04
429 0.0081 2e-04
430 0.0024 9e-05
431 0.0037 0.00016
432 0.0065 0.00015
433 0.0047 0.00018
434 0.0074 8e-05
435 0.0093 5e-05
436 0.0084 7e-05
437 0.007 0.00016
438 0.0067 8e-05
439 0.0074 7e-05
440 0.0026 0.00018
441 0.0061 0.00019
442 0.0072 0.00014
443 0.0051 0.00011
444 0.003 9e-05
445 0.0098 5e-05
446 0.001 0.00017
447 0.0039 0.00011
448 5e-04 0.00015
449 0.001 0.00011
450 9e-04 0.00016
451 0.0048 0.00019
452 0.0095 1e-04
453 8e-04 0.00013
454 0.0044 8e-05
455 0.0035 0.00015
456 0.0048 0.00017
457 0.0023 0.00016
458 0.0036 6e-05
459 5e-04 0.00016
460 0.0011 0.00012
461 0.0038 0.00013
462 8e-04 9e-05
463 0.0085 0.00011
464 0.0076 0.00019
465 0.0032 7e-05
466 0.0099 1e-04
467 0.003 0.00013
468 0.0061 1e-04
469 0.0033 5e-05
470 0.0097 1e-04
471 0.0098 1e-04
472 0.0099 9e-05
473 0.0093 8e-05
474 0.0077 0.00012
475 0.0026 7e-05
476 0.0072 0.00019
477 0.0041 0.00017
478 0.0044 0.00019
479 0.0089 0.00015
480 0.0076 1e-04
481 0.0064 8e-05
482 5e-04 0.00014
483 0.0048 1e-04
484 0.0089 8e-05
485 0.005 9e-05
486 0.0049 0.00012
487 0.0094 8e-05
488 0.0059 0.00014
489 0.0011 2e-04
490 0.0056 0.00019
491 0.0028 0.00013
492 0.0046 0.00019
493 0.007 7e-05
494 0.0088 0.00018
495 0.0046 0.00019
496 0.0043 0.00016
497 0.0016 0.00012
498 0.0097 5e-05
499 0.0068 5e-05
500 0.004 1e-04
