Year	Month	Claim
2007	Mar	13565
2010	Dec	14340
2012	Jan	12080
2013	Jun	15325
2009	May	27135
2018	Jun	14825
2018	May	17965
2015	Jan	15490
2014	Jul	10930
2016	Apr	18675
2014	Aug	16745
2012	Dec	13100
2014	Jun	12700
2017	Apr	18025
2007	Nov	14870
2015	Aug	10955
2018	Nov	20080
2013	Sep	17175
2016	Sep	25365
2013	Apr	22965
2017	Feb	21180
2007	Aug	14535
2012	Feb	17370
2008	Nov	16245
2009	Jul	17710
2017	Dec	17500
2015	May	19285
2011	Oct	31975
2014	Mar	16325
2013	Jun	34480
2017	Mar	9515
2008	Aug	18945
2018	Jun	16695
2008	Jul	16775
2015	Sep	16840
2013	May	20285
2010	Jul	16615
2018	Jan	26650
2016	Mar	10730
2014	Jan	16485
2013	Feb	19105
2007	Mar	26720
2016	Dec	22260
2012	Jun	10515
2011	Nov	16080
2015	Jul	16895
2014	Jun	42035
2009	Jan	21870
2009	Dec	12945
2016	Apr	14555
2009	Dec	17955
2017	Oct	16690
2012	May	13130
2018	Dec	20555
2008	Jun	16330
2008	Aug	22500
2009	Nov	17280
2013	Jan	17200
2011	Jul	23245
2012	May	23070
2013	Apr	33440
2011	Aug	23040
2009	Mar	10150
2016	Aug	9605
2018	Dec	23590
2016	Oct	23965
2016	Dec	24680
2008	Jun	15965
2015	Jul	45770
2015	Jul	12560
2007	Nov	16505
2010	May	35680
2012	Mar	15380
2018	Oct	32865
2017	Jan	16365
2018	Mar	35485
2017	Nov	17850
2018	Aug	21170
2007	Feb	14495
2012	Nov	11490
2010	Mar	23115
2018	Jun	37830
2017	Mar	16230
2012	Aug	12825
2015	Jun	26190
2008	Jan	14470
2007	Aug	11205
2009	Jun	26490
2010	Dec	13330
2008	Sep	29110
2009	Oct	14765
2009	Oct	24680
2017	Jan	35115
2018	Jan	25205
2009	Jun	16745
2010	Jun	25585
2014	Feb	17470
2010	Feb	15740
2018	Mar	28610
2013	Dec	16455
2016	Jan	15515
2017	Jun	17050
2014	Jun	21980
2017	May	24235
2018	Apr	20750
2016	Aug	16140
2009	Mar	20110
2007	Jun	19270
2007	Mar	22500
2007	Nov	16445
2008	May	26495
2012	Feb	8310
2007	Apr	18035
2007	Aug	37130
2007	Oct	9680
2009	Jun	24280
2007	Mar	21420
2009	May	24505
2008	Aug	22845
2015	Dec	21390
2012	Nov	23335
2011	Oct	24090
2014	Nov	25360
2015	Feb	30735
2017	Oct	19830
2013	Oct	28450
2012	Sep	13300
2016	Oct	20605
2018	Oct	20320
2014	Mar	17710
2014	Jul	15750
2016	Jul	13125
2008	Feb	12610
2013	Dec	21700
2008	Aug	19450
2016	Jul	16760
2014	Aug	21030
2010	Jun	19010
2010	Apr	32450
2016	Jul	21750
2017	May	18165
2008	Feb	19495
2017	Nov	13280
2009	Mar	31795
2011	May	28570
2011	Sep	36035
2011	Feb	42250
2008	Jun	22570
2011	Dec	14620
2009	Jul	5320
2017	Apr	23935
2015	Aug	23965
2012	Apr	11740
2008	Apr	15825
2014	Mar	21960
2011	Jun	23535
2011	Jul	17180
2007	Apr	13085
2010	May	15070
2011	Aug	25005
2017	Dec	15200
2013	Dec	19560
2012	Mar	22630
2010	Mar	14385
2014	Feb	17375
2016	Oct	20555
2016	Jun	13855
2017	Oct	15520
2017	Mar	18725
2007	Jun	19090
2007	May	7205
2016	Dec	16260
2010	Mar	13585
2013	Mar	37635
2018	Apr	9865
2014	Aug	16140
2009	Dec	12005
2009	May	13685
2018	May	16710
2017	Mar	13935
2014	Dec	18185
2013	May	14260
2008	Oct	35375
2013	Oct	20010
2008	Sep	28025
2012	Oct	25220
2012	Dec	40280
2014	Sep	12265
2015	Jun	27880
2014	Feb	10965
2014	Nov	20505
2015	Jul	34730
2013	Aug	14805
2010	Jun	21000
2010	Nov	21695
2012	Apr	28225
2018	Sep	16955
2014	Jul	9590
2013	Nov	11495
2010	Sep	19775
2017	Nov	29995
2015	Sep	17510
2016	Sep	24355
2009	Dec	30225
2015	Aug	9930
2007	Feb	15935
2007	Apr	16995
2008	Aug	25420
2009	Nov	15850
2013	Jan	24035
2009	May	20050
2016	Sep	25090
2007	Jan	25790
2014	Jan	19520
2012	Feb	20165
2007	Aug	22230
2018	Jun	28285
2009	Feb	20115
2010	Feb	19685
2009	Aug	34125
2013	Sep	27405
2014	May	23165
2010	Aug	35330
2010	Jan	18710
2013	Jan	13425
2008	Dec	10465
2010	Apr	11325
2017	Nov	23380
2013	Jul	19960
2011	May	9135
2007	Sep	16730
2013	Nov	24040
2017	Mar	20515
2013	Dec	24930
2016	Oct	20285
2009	Aug	21730
2014	Aug	12465
2010	Oct	19565
2012	Jun	18115
2008	Aug	29120
2007	Jun	26890
2012	Jan	20905
2015	May	23400
2009	Jun	14080
2015	Jun	22960
2010	May	22580
2015	Feb	22130
2018	Aug	11715
2017	Jun	17475
2017	Jun	15340
2011	Jul	5030
2009	Dec	24275
2015	Jan	23210
2018	Aug	12860
2010	Apr	21135
2013	Jul	11250
2012	May	9025
2013	Dec	21250
2018	Nov	16290
2016	Jun	30380
2017	Apr	15890
2010	Nov	17645
2010	Dec	20370
2015	Feb	21450
2018	Feb	12335
2017	Apr	15755
2014	Aug	33550
2008	Oct	21030
2014	Oct	11570
2012	Jan	21045
2009	Dec	21570
2007	Aug	17085
2008	Nov	17155
2009	Mar	14300
2014	Jan	20750
2008	Jul	28690
2013	Feb	12620
2016	May	12535
2018	Oct	19710
2018	Apr	13480
2014	Jan	21075
2017	Jul	20065
2012	Jul	17780
2011	Apr	17310
2007	Aug	26255
2018	Oct	20895
2011	Sep	22720
2015	Apr	29180
2014	Jan	11825
2013	Sep	22010
2007	Dec	14760
2016	Jan	14195
2012	Jun	24805
2017	Apr	7155
2008	Dec	16005
2009	Oct	19535
2018	Oct	30565
2010	Oct	11150
2009	Dec	8690
2014	Jul	17030
2014	May	39160
2010	Apr	18820
2009	Jun	11685
2015	Mar	34225
2018	Apr	23730
2013	Jun	10130
2012	Jun	8465
2015	Mar	22740
2012	Mar	12630
2008	Sep	17010
2009	Oct	19520
2010	Jul	25595
2009	Jan	25110
2018	Sep	14565
2013	Mar	12645
2007	Sep	19090
2013	Jan	22480
2011	Nov	11795
2014	Mar	13695
2014	Sep	12345
2013	Aug	13460
2009	Nov	21820
2010	Aug	15705
2018	May	14470
2008	May	33275
2017	Mar	16735
2015	Aug	13975
2011	Jun	42225
2013	Aug	14825
2013	Sep	19470
2012	Dec	20180
2017	Feb	21895
2009	Jul	13555
2007	Jan	23445
2009	Aug	16510
2007	Apr	10865
2013	Oct	23390
2015	Dec	27160
2007	Jun	19300
2008	Sep	18645
2011	Nov	9725
2008	Feb	13815
2018	Jan	22315
2012	Jul	23745
2013	May	15185
2018	Dec	25865
2010	Jan	17700
2014	Jul	11295
2018	Oct	17010
2014	May	22860
2007	Apr	13405
2007	Aug	8280
2014	Jan	10970
2011	Mar	13795
2016	Sep	22975
2018	Sep	26850
2008	Nov	11595
2007	Sep	27525
2013	Aug	32295
2011	Dec	18865
2010	Dec	16225
2008	Feb	6615
2008	Nov	27905
2016	Jan	23950
2010	Dec	39990
2016	Apr	17200
2014	Sep	16165
2017	Jan	14220
2015	Apr	24215
2016	Oct	11390
2016	Jul	26670
2018	Jan	14820
2010	Sep	15145
2017	May	26000
2013	Apr	19320
2010	Apr	18460
2018	Jan	18655
2017	Sep	22000
2012	Sep	20265
2013	Dec	27835
2013	May	12445
2015	Nov	14750
2015	Nov	12770
2012	Nov	15830
2008	Jun	24305
2008	Aug	15830
2010	Mar	32860
2007	Aug	14850
2010	Jun	21460
2007	Jun	23525
2007	Jul	20260
2007	Oct	14230
2013	Aug	17865
2014	Apr	23310
2014	Jul	26800
2016	Dec	17345
2010	Feb	23060
2008	Aug	27765
2017	Jul	18865
2011	Apr	9890
2009	Jan	25210
2007	Oct	15245
2007	Jun	11810
2016	Feb	12115
2013	Nov	42595
2015	Sep	17785
2012	Apr	38290
2010	Jul	24525
2013	Mar	24830
2008	Sep	24575
2015	Jan	41525
2007	Sep	28185
2011	Sep	22710
2013	Aug	23930
2018	Oct	17825
2017	Feb	12560
2012	Jun	23825
2010	Nov	33235
2012	Jun	27780
2009	Apr	37315
2011	Aug	19265
2016	Dec	32760
2016	Aug	21240
2011	Aug	15105
2015	Apr	18290
2010	Mar	41635
2015	Jun	22560
2012	Apr	27845
2012	Nov	15675
2015	Jul	25380
2018	Jan	14140
2014	Nov	26640
2018	Jun	12050
2012	Jul	14340
2017	Apr	15720
2018	Sep	10585
2016	Jun	10030
2017	Mar	21710
2013	Feb	23675
2008	Nov	17340
2015	Dec	14895
2016	May	13065
2013	Jul	25315
2018	Nov	27885
2012	Aug	17705
2007	Feb	21610
2010	Aug	32290
2014	Oct	18200
2018	Oct	28700
2014	Nov	13535
2011	Jul	22060
2015	Nov	15930
2013	Apr	22205
2007	Jul	20520
2009	Sep	10190
2009	Oct	12795
2013	Feb	29470
2011	Aug	27755
2013	Jan	17205
2010	Sep	17355
2007	Aug	18385
2008	Jan	15950
2009	Mar	19095
2010	Sep	33895
2012	Mar	22435
2008	Aug	15075
2009	Sep	23550
2017	Jul	35555
2009	Oct	21410
2018	Mar	29525
2014	Mar	34970
2013	May	18495
2017	Aug	21585
2008	Apr	15795
2013	Dec	22705
2010	Mar	13590
2017	Nov	14720
2011	Sep	45510
2016	Mar	14885
2011	Jun	20785
2009	Jun	21615
2013	Mar	18235
2008	Nov	28780
2008	Jan	15210
2018	Jun	16785
2009	Jul	26625
2010	Oct	24130
2018	Apr	31625
2015	Feb	40315
2015	Mar	10765
2007	Aug	20265
2012	Aug	26770
2012	Nov	16655
2011	Oct	14110
2015	Aug	34425
2010	Feb	16825
2007	Jan	34410
2014	Dec	12095
2017	Nov	9465
2017	Oct	21805
2012	Nov	24360
2012	Dec	22590
2018	May	9995
2014	Dec	14680
2013	Oct	20425
2013	May	16135
2008	Oct	21875
2016	Oct	13870
2016	Nov	29865
2015	Sep	7785
2016	Oct	23885
2013	Mar	20320
2007	Sep	21275
2010	Jun	24830
2013	Feb	23920
2011	Dec	25480
2008	Nov	18670
2014	Jun	15990
2017	Jul	21670
2007	Jul	9685
2007	Jun	13465
2018	Sep	14815
2014	Jul	33695
2016	Jul	13930
2010	Jun	25515
2011	Oct	13675
2007	Jun	23125
2009	Sep	37225
2017	Mar	10835
2018	Jan	25445
2010	Dec	33465
2011	Feb	19610
2014	Aug	10575
2016	May	29920
2012	Jun	11390
2011	Jan	28000
2016	Aug	16260
2015	Jan	12395
2011	Dec	20840
2015	Oct	26225
2014	Mar	15350
2009	Jul	22170
2012	Feb	15785
2016	Jul	31075
2016	Dec	14455
2009	Apr	11620
2013	Oct	21095
2016	Mar	21690
2008	Dec	18830
2016	Jan	32495
2008	Dec	26910
2015	Sep	29945
2009	Jul	16830
2018	Jul	22540
2014	Jul	11420
2012	Apr	22950
2007	Feb	23445
2016	Apr	23165
2011	Apr	14010
2010	Feb	18815
2010	Nov	28155
2016	Sep	14985
2013	Feb	16145
2014	Sep	27095
2018	Jun	16980
2015	Jan	10855
2010	Jun	13750
2018	Jul	13880
2014	Jul	34030
2016	Nov	15035
2017	Jan	12005
2012	Sep	26685
2009	Jul	11210
2016	Nov	10800
2016	Dec	11250
2012	Oct	22780
2014	Apr	28430
2016	Feb	7105
2018	Feb	16255
2015	Jul	28005
2012	Oct	21710
2011	Apr	12500
2012	Jan	14995
2012	Aug	16220
2008	Jan	37540
2008	Jan	12990
2014	May	21910
2007	Dec	15020
2016	Feb	14530
2017	Aug	13015
2010	Jan	20075
2014	Jun	22765
2011	Apr	26400
2014	Dec	12420
2018	Apr	19230
2017	Aug	13725
2007	Mar	20765
2014	Sep	13595
2007	Dec	31370
2008	Feb	35655
2012	Feb	6935
2013	May	17800
2015	Jan	13030
2010	Apr	25085
2016	Feb	36525
2011	Nov	14935
2010	Oct	37480
2015	Nov	11960
2010	Dec	14020
2017	Apr	31145
2014	Nov	9465
2015	Dec	16865
2007	Mar	19285
2011	May	16740
2016	Dec	37910
2007	Dec	21570
2016	Dec	19570
2016	Jan	13650
2015	Nov	19960
2014	Oct	10695
2014	Jan	36655
2013	Jun	19210
2010	Sep	18985
2015	Apr	19375
2012	May	28280
2017	Jun	10955
2010	Jan	14175
2007	Jan	15955
2011	Jun	12495
2011	Oct	7160
2007	May	14075
2016	Feb	19620
2016	Oct	18130
2015	Aug	23745
2015	Oct	12330
2010	Dec	15815
2017	Jan	10005
2014	Mar	20700
2018	Oct	16610
2016	Jun	34035
2015	Aug	12540
2007	Jun	18105
2015	Nov	11235
2015	Jun	21350
2014	Dec	12085
2008	Feb	19460
2008	Jun	15290
2007	Dec	10530
2007	May	35400
2017	Mar	20575
2009	May	21475
2007	Jul	14550
2016	Mar	11795
2014	Mar	18645
2010	Feb	26465
2015	Jun	14895
2011	Jul	34725
2013	Sep	21610
2011	Jul	13585
2012	Sep	14775
2009	Nov	11575
2012	Jan	9000
2018	Nov	25410
2011	Nov	14125
2017	Jun	18455
2015	Aug	15750
2009	Jul	14745
2017	Feb	15670
2013	Mar	17330
2008	Oct	14820
2017	Sep	20810
2007	Apr	14825
2018	Aug	21760
2007	Mar	19730
2015	Oct	27250
2014	Nov	16185
2012	Nov	13825
2010	Mar	22075
2014	Oct	31055
2012	Dec	12905
2008	Mar	32625
2010	Nov	25530
2008	Nov	20310
2014	Oct	16965
2010	Sep	29030
2011	Mar	9675
2010	Jan	11485
2008	Nov	14620
2015	Oct	16105
2007	Apr	20370
2014	May	15960
2008	Jan	25585
2018	Nov	17395
2012	Jan	16315
2010	Oct	10030
2013	Jun	35835
2015	May	18065
2015	Dec	15150
2009	Jun	27140
2014	Apr	15030
2013	Sep	19360
2015	Apr	19655
2018	Jan	19200
2013	Sep	4885
2013	May	17670
2015	Mar	24750
2015	May	14365
2013	Aug	10245
2016	Oct	13230
2017	Feb	23840
2007	Jan	29810
2016	Feb	30640
2007	Jul	34030
2018	Mar	14350
2007	Apr	16815
2012	Feb	19430
2016	Jun	3325
2018	Sep	33240
2014	Sep	20060
2018	May	9090
2008	Feb	19925
2010	Aug	33400
2016	Jul	11060
2007	Dec	23055
2011	Jul	19410
2011	Jun	15270
2009	Mar	28010
2013	Nov	11500
2013	Jul	17385
2015	Apr	24600
2011	Jul	22425
2011	Dec	25380
2011	Jan	27865
2018	Mar	28320
2018	Sep	22870
2013	May	18085
2017	Sep	22505
2008	Jul	19470
2015	Nov	18775
2011	Jul	32870
2018	Oct	10905
2010	Jun	30745
2010	May	29695
2018	Apr	20445
2007	Oct	20870
2017	May	21895
2009	Feb	14400
2011	Nov	13140
2013	Nov	23370
2018	Jun	27080
2012	Sep	22645
2014	Jul	13720
2012	Nov	8050
2007	Jul	8325
2011	Dec	20860
2013	Aug	34850
2011	Jul	18205
2015	Feb	12920
2007	Dec	17925
2008	Aug	23545
2013	Dec	23010
2008	May	20515
2013	Sep	23840
2012	Sep	20730
2008	Feb	35225
2013	Apr	24985
2011	Jul	13945
2010	Nov	8380
2013	Aug	13845
2014	May	16420
2012	Dec	30585
2013	Nov	16720
2010	Nov	21185
2011	Dec	9285
2010	Aug	24080
2014	Oct	32095
2007	Jul	37870
2014	Feb	31370
2008	Apr	19440
2010	Jan	26585
2018	Feb	15880
2017	Apr	8885
2015	Feb	15910
2007	Aug	14750
2014	Dec	27525
2015	Mar	34790
2015	Aug	12610
2011	May	26040
2015	May	19605
2016	Apr	21620
2009	Mar	14350
2016	Aug	24275
2008	Jun	19480
2016	Oct	15750
2018	May	39710
2018	Apr	19915
2010	Feb	18875
2012	Aug	25830
2014	Oct	19825
2018	Jul	21125
2017	Mar	11215
2007	Oct	31500
2017	Apr	26215
2011	Jun	20470
2014	Jul	29610
2013	Oct	17400
2014	Aug	13590
2015	Feb	15100
2008	Oct	10230
2008	Jun	15915
2008	Dec	17480
2016	Jan	12310
2009	Mar	23515
2015	Jul	19895
2014	Sep	20085
2009	Oct	18745
2013	Jan	12855
2011	Jul	22695
2007	Jan	19960
2010	Jan	20425
2018	Sep	18055
2007	Sep	17465
2018	Nov	22520
2011	Aug	14265
2008	Jan	14205
2013	Mar	5900
2012	Apr	19020
2008	Dec	26990
2015	Dec	20705
2010	Feb	17790
2015	May	15140
2009	Mar	19490
2010	Sep	29930
2013	Oct	25390
2010	Mar	35705
2015	Sep	19075
2009	Oct	13925
2008	Oct	17030
2011	Jan	11325
2012	Dec	8910
2015	May	23140
2012	Apr	21055
2007	Oct	22645
2011	May	9285
2011	Aug	16955
2015	Sep	36890
2009	Sep	19975
2014	Feb	23795
2008	Jul	11355
2009	Oct	20975
2013	Jan	5135
2009	Nov	15370
2018	Sep	14245
2018	Nov	37050
2009	Nov	23745
2017	Jun	15195
2009	Feb	37585
2010	Dec	20405
2018	May	12105
2009	Jun	26695
2009	Jan	19275
2013	Sep	8090
2009	Feb	13105
2015	Jun	24270
2010	Feb	16270
2007	Aug	27445
2018	Dec	11025
2010	Jul	11170
2014	Apr	24575
2011	Apr	26565
2007	Apr	22385
2011	Apr	15020
2009	Dec	3520
2014	Apr	25970
2011	May	22240
2014	Mar	21040
2010	Oct	17240
2008	May	15340
2016	Aug	17670
2008	Jun	15580
2017	Oct	24080
2014	Dec	18170
2017	May	10385
2017	Feb	11765
2018	Feb	29770
2015	Aug	19810
2013	Nov	30450
2010	Mar	22715
2015	Jul	17910
2013	Jun	20345
2007	Mar	28065
2018	Apr	14760
2008	Apr	22065
2017	Jul	28345
2011	Mar	13890
2017	Sep	25485
2010	Nov	18735
2015	Jul	22330
2017	Sep	26985
2008	Nov	31745
2008	Jan	14750
2007	Jan	12930
2007	Jun	10280
2013	Dec	14875
2010	Apr	20380
2008	Apr	13330
2017	Dec	10670
2011	Jun	13570
2017	Oct	26745
2007	Dec	24165
2013	May	28345
2016	Apr	17520
2018	Jan	16295
2011	May	18840
2012	Oct	12995
2017	Jan	10855
2007	Jul	20410
2008	Dec	21050
2011	Sep	18450
2013	Nov	16115
2017	Nov	23755
2008	Dec	23135
2013	May	20480
2013	Aug	20405
2017	Jan	35755
2008	Oct	16510
2016	Sep	20895
2008	Jun	22265
2009	Dec	27835
2014	Oct	13130
2017	Jan	23435
2015	Apr	22135
2017	Dec	31825
2010	Apr	20605
2007	Oct	6280
2011	Mar	19565
2011	May	24925
2015	Sep	14905
2013	Nov	25795
2013	Jul	20355
2007	Nov	11970
2013	Feb	35235
2011	Nov	21055
2014	Oct	25110
2008	Apr	21610
2017	Oct	15880
2010	Sep	16705
2015	Jul	28235
2014	Jan	29335
2013	Jul	14940
2017	May	19915
2013	Jul	21305
2014	Feb	17200
2009	Sep	25725
2009	Dec	25690
2009	Jul	28505
2017	Apr	19265
2015	Sep	19645
2010	Apr	19485
2010	Apr	17620
2012	Apr	15660
2007	Mar	18670
2017	Mar	20590
2007	Nov	23625
2007	Jul	20705
2018	Oct	12675
2013	Apr	10815
2011	Jul	10730
2018	Feb	19700
2011	Sep	17610
2010	Jul	10055
2012	Jun	20785
2012	May	16985
2017	Apr	23770
2008	Nov	16865
2016	Sep	17680
2007	Sep	19625
2011	Apr	29350
2015	Feb	14105
2017	Mar	16350
2018	Aug	12605
2007	Jan	28180
2011	Sep	20385
2008	Jun	28310
2014	Aug	19870
2014	Aug	24080
2007	Oct	20610
2017	Dec	35290
2017	Sep	23075
2007	May	9415
2007	Aug	19065
2016	Dec	19825
2008	Nov	12805
2009	Feb	20290
2010	Mar	30140
2016	Jul	14825
2017	Sep	22520
2018	Mar	26140
2007	Aug	11855
2011	Nov	19140
